society_id,society_name,region,lat,lon,focal_year,EA031_code,EA031_label,comment,references
Aa1,!Kung,,-20,21,1950,1,<50,,biesele1972; biesele1975; biesele1976; draper1972; draper1975; drapernd; hansenetal1969; harpending1971; howell1979; howellnd; konner1971; konner1972; konner1973; konner1977; lee1966; lee1968; lee1972a; lee1974; lee1979; leeanddevore1976; marshall1956; marshall1957; marshall1957a; marshall1957b; marshall1958; marshall1959; marshall1960; marshall1961; marshall1962; marshall1965; marshall1976; marshallandmarshall1956; schapera1930; shostak1981; thomas1959; tobias1978
Aa2,Dorobo,,0,36,1920,1,<50,,huntingford1929; huntingford1942; huntingford1951; huntingford1953b; huntingford1954; huntingford1955a
Aa3,Nama,,-26,18,1840,3,100-199,,hoernl1918; hoernl1925; kohler1970; murdock1934b:475-507; schapera1930; schultze1907
Aa4,Bergdama,,-22,16,1920,NA,Missing data,,
Aa5,Mbuti,,2,28,1930,3,100-199,,deleeuwe1966; hart1978; putnam1948; turnbull1961; turnbull1965a; turnbull1965b; turnbull1965c; turnbull1983
Aa6,Sandawe,,-5,36,1920,NA,Missing data,,
Aa7,Naron,,-20,24,1910,1,<50,,bleek1924b; bleek1928; passarge1907; schapera1930
Aa8,/Xam,,-30,23,1850,1,<50,,barrow180104; bleek1924b; fritsch1872
Aa9,Hadza,,-3,35,1910,1,<50,"For camps, but 100-199 (code ""3"") for bands comprising a number of camps",bleek1931b; kohllarsen1958; woodburn1964; woodburn1968a; woodburn1968b; woodburn1970
Ab1,Herero,,-21,16,1900,NA,Missing data,,
Ab10,Pondo Xhosa,,-31,30,1936,NA,Missing data,,
Ab11,Xhosa Ngqika,,-32.89,27.91,1850,NA,Missing data,,
Ab12,Zulu,,-29,31,1830,NA,Missing data,,
Ab13,Tswana,,-24,27,1880,7,5000-50000,,brown1926; dorman1935; duggancronin1929; livingstone1858; schapera1938; schapera1941; schapera1950; schapera1953; schpera1941
Ab14,Lovedu,,-24,31,1930,5,400-1000,,krigeandkrige1943
Ab15,Pedi,,-25,30,1860,4,200-399,,duggancronin1931; franz1931; harries1939; harris1929; pitje1950; vanwarmelo1931; winter1914
Ab16,Lenge,,-25,34,1930,NA,Missing data,,
Ab17,Ndau,,-20,34,1920,NA,Missing data,,
Ab18,Shona,,-19,31,1920,3,100-199,,bullock1928; holleman1952; kuper1955; prost1956; seed193233
Ab19,Ambo,,-17,16,1910,NA,Missing data,,
Ab2,Swazi,,-27,32,1880,NA,Missing data,,
Ab20,Ngumbi,,-15,15,1880,NA,Missing data,,
Ab21a,Kisama,,-10,14,1930,NA,Missing data,,
Ab21b,Bomvana,,-32.17,28.93,1925,NA,Missing data,,
