society_id,society_name,region,lat,lon,focal_year,SCCS234_code,SCCS234_label,comment,references
SCCS2,!Kung,,-19.83,20.58,1950,1,Nomadic,,
SCCS1,Nama,,-27.5,17,1860,1,Nomadic,,
SCCS13,Mbuti,,1.5,28.33,1950,1,Nomadic,,
SCCS9,Hadza,,-3.75,35.18,1930,1,Nomadic,,
SCCS4,Lozi,,-16,23.5,1900,3,Semisedentary,,
SCCS3,Tsonga,,-25.83,32.33,1895,7,Villages/towns,,
SCCS5,Mbundu,,-12.25,16.5,1890,7,Villages/towns,,
SCCS6,Suku,,-6,18,1920,7,Villages/towns,,
SCCS7,Bemba,,-10.5,30.5,1897,4,Impermanent,,
SCCS10,Luguru,,-6.83,37.67,1925,6,Hamlets,,
SCCS11,Kikuyu,,-0.67,37.17,1920,7,Villages/towns,"Formerly 'dispersed homesteads' (code ""5"")",
SCCS8,Nyakyusa,,-9.5,34,1934,7,Villages/towns,,
SCCS12,Ganda,,0.33,32.5,1875,7,Villages/towns,,
SCCS14,Nkundo,,-0.75,19.17,1930,6,Hamlets,,
SCCS15,Banen,,4.67,10.8,1935,5,Dispersed homesteads,,
SCCS18,Fon,,7.2,1.91,1890,7,Villages/towns,,
SCCS17,Igbo,,5.5,7.33,1935,6,Hamlets,,
SCCS19,Ashanti,,7,-1.5,1895,7,Villages/towns,,
SCCS20,Mende,,7.83,-12,1945,8,Complex permanent,,
SCCS22,Bambara,,12.5,-7,1902,7,Villages/towns,,
SCCS23,Tallensi,,10.66,-0.57,1934,5,Dispersed homesteads,,
SCCS16,Tiv,,7.25,9,1920,5,Dispersed homesteads,,
SCCS30,Otoro,,11.33,30.67,1930,6,Hamlets,,
SCCS28,Azande,,5.08,28.25,1905,5,Dispersed homesteads,,
SCCS32,Mao,,9.27,34.67,1939,7,Villages/towns,"Grottanelli speaks of ""villages,"" but Cerulli reports 'dispersed homesteads' (code ""5"")",
SCCS31,Shilluk,,9.75,31.5,1910,6,Hamlets,,
SCCS27,Masa,,10.5,15.5,1910,5,Dispersed homesteads,,
SCCS34,Maasi,,-3.5,36.75,1900,1,Nomadic,,
SCCS35,Konso,,5.25,37.5,1935,7,Villages/towns,,
SCCS36,Somali (Dolbahanta),,9,47.25,1900,1,Nomadic,,
SCCS33,Kafa,,7.27,36.5,1905,5,Dispersed homesteads,,
SCCS38,Blin,,15.75,38.75,1855,2,Seminomadic,,
SCCS37,Amhara,,12.5,37.75,1953,6,Hamlets,,
SCCS29,Fur,,13.5,25.5,1880,7,Villages/towns,,
SCCS21,Wolof,,13.75,-15.33,1950,7,Villages/towns,,
SCCS25,Wodaabe Fulani,,15,7.5,1951,1,Nomadic,,
SCCS26,Zazzagawa Hausa,,10.5,7.5,1900,7,Villages/towns,,
SCCS24,Songhai,,16.58,-1.67,1940,7,Villages/towns,,
SCCS40,Teda,,20.5,17.5,1950,2,Seminomadic,,
SCCS41,Tuareg Ahaggar,,23,6.5,1900,2,Seminomadic,But the Haratin serfs are sedentary,
SCCS39,Barabra,,23,39.11,1900,7,Villages/towns,,
SCCS43,Egyptians,,24.75,33,1950,7,Villages/towns,,
SCCS42,Riffians,,34.92,-3.25,1926,7,Villages/towns,,
SCCS48,Gheg,,42,20.17,1910,5,Dispersed homesteads,,
SCCS49,Ancient Romans,,41.67,13.5,110,7,Villages/towns,,
SCCS50,Spanish Basques,,43.25,-1.67,1934,8,Complex permanent,,
SCCS51,Irish,,53.5,-10,1932,5,Dispersed homesteads,,
SCCS52,Sami,,68.7,21.5,1950,1,Nomadic,,
SCCS54,Russians,,52.67,41.33,1955,7,Villages/towns,,
SCCS56,Armenians,,40,44.5,1843,7,Villages/towns,,
SCCS57,Kurd,,36.5,44.5,1951,3,Semisedentary,,
SCCS55,Abkhaz,,43.13,40.77,1880,5,Dispersed homesteads,,
SCCS47,Turks,,39.33,34.25,1950,7,Villages/towns,,
SCCS46,Rwala,,33.25,38.5,1913,1,Nomadic,,
SCCS44,Hebrews,,31.18,34.92,-621,7,Villages/towns,,
